SITEVISITID,SITE,OBS_YEAR,DATE_,MISSIONID,OCC_SITEID,ANALYSIS_YEAR,ANALYSIS_SCHEME,SEC_NAME,EXCLUDE_FLAG,TRANSECT_PHOTOS,Oceanography,METHOD,REGION,ISLAND,PERM_SITE,CLIMATE_STATION_YN,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN,CCA,CORAL,EMA,HAL,I,MA,SC,SED,TURF,N,new.N
10000,OAH-02391,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.311209,-158.125831,Forereef,Mid,0.666666667,2.333333333,8.333333333,0.333333333,0,4,0,1,83.33333333,300,300
10001,OAH-02460,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.341493,-158.139885,Forereef,Deep,4.62962963,22.5308642,9.259259259,0,0,0,0,11.11111111,52.4691358,330,324
10002,OAH-02418,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.36039,-158.133699,Forereef,Shallow,0.344827586,1.034482759,0,0,0,1.379310345,0,1.034482759,96.20689655,300,290
10003,OAH-02408,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.415681,-158.18632,Forereef,Mid,1.261829653,4.100946372,7.886435331,0,0,0.315457413,0,0,86.43533123,320,317
10004,OAH-02390,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.428016,-158.195502,Forereef,Mid,0,1,3.666666667,0,0,3.333333333,0,4.666666667,87.33333333,300,300
10005,OAH-02594,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.568485,-158.278243,Forereef,Deep,0.338983051,4.06779661,9.152542373,0,0,0,0,18.30508475,68.13559322,300,295
10006,OAH-02605,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.564816,-158.267199,Forereef,Mid,0,1.013513514,5.067567568,0,0,0,0,0.337837838,93.58108108,300,296
10007,OAH-02597,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.557504,-158.254227,Forereef,Shallow,5.190311419,5.190311419,11.41868512,0,0,0.346020761,0,1.038062284,76.816609,300,289
10008,OAH-02843,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.45644,-158.214246,Forereef,Mid,0,3.678929766,5.016722408,0.334448161,0,0,0,0,90.96989967,300,299
10009,OAH-02461,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.547161,-158.252005,Forereef,Deep,0,1.25,2.5,0,0,0.9375,0,35.3125,60,320,320
10010,OAH-02406,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.501435,-158.236933,Forereef,Mid,0.333333333,1.333333333,4,1,0,1.333333333,0,0.666666667,91.33333333,300,300
10011,OAH-02416,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.46914,-158.219437,Forereef,Shallow,0.632911392,3.164556962,13.60759494,0,0.316455696,0,0,16.13924051,66.13924051,320,316
10012,OAH-02412,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.451023,-158.202334,Forereef,Shallow,0,0.338983051,1.016949153,0,0,0,0,3.728813559,94.91525424,300,295
10014,OAH-00023,2016,8/17/2016,HA1606,OCC-OAH-010,2016,RAMP_BASIC,OAH_SOUTH,0,-1,1,CNET,MHI,Oahu,-1,-1,21.28838,-157.86536,UNKNOWN,UNKNOWN,0.313479624,10.34482759,0.626959248,0,0,1.567398119,0,0.940438871,86.20689655,320,319
10015,OAH-00021,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,1,CNET,MHI,Oahu,0,0,21.30557,-158.12621,Forereef,UNKNOWN,0.949367089,1.582278481,14.87341772,0.632911392,0,4.113924051,0,0,77.84810127,320,316
10017,OAH-00025,2016,8/19/2016,HA1606,OCC-OAH-012,2016,RAMP_BASIC,OAH_SOUTH,0,-1,1,CNET,MHI,Oahu,0,-1,21.53412,-158.23441,UNKNOWN,UNKNOWN,0.666666667,1.333333333,10.66666667,0.333333333,0,1,0,16.33333333,69.66666667,300,300
10019,OAH-02749,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.588871,-158.159412,Forereef,Deep,0.333333333,0.666666667,0.333333333,0,0,0.333333333,0,10.66666667,87.66666667,300,300
10020,OAH-02643,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.587846,-158.177175,Forereef,Shallow,0.677966102,8.474576271,4.06779661,0,0,6.101694915,0,0,80.6779661,300,295
10021,OAH-02588,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.592206,-158.189174,Forereef,Deep,0.307692308,13.23076923,9.230769231,0,0,1.846153846,0,3.384615385,72,330,325
10022,OAH-02621,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.588474,-158.212036,Forereef,Mid,0,0.666666667,1,0,0,5,0,3,90.33333333,300,300
10023,OAH-02322,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.621528,-158.10004,Forereef,Deep,1.5625,3.75,7.1875,1.25,0,3.4375,0,4.375,78.4375,320,320
10024,OAH-02330,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.680705,-158.056404,Forereef,Deep,1,8,1.333333333,0,0,2.666666667,0,2,85,300,300
10025,OAH-02351,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.669815,-158.060849,Forereef,Mid,0,0,3.75,0,0,6.5625,0,0.3125,89.375,320,320
10026,OAH-02337,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.661396,-158.059957,Forereef,Mid,0.666666667,2,3,0,0.333333333,8,0,1.333333333,84.66666667,300,300
10027,OAH-02365,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.630035,-158.08193,Forereef,Mid,0.9375,2.1875,3.75,0.3125,0,3.75,0,8.75,80.3125,320,320
10028,OAH-02383,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.628116,-158.07916,Forereef,Shallow,2.341137124,1.337792642,32.44147157,0,0,5.016722408,0,3.010033445,55.85284281,300,299
10029,OAH-02347,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.618759,-158.098195,Forereef,Mid,0.3125,4.0625,5.3125,0.3125,0,7.8125,0,0,82.1875,320,320
10030,OAH-02758,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.603616,-158.110791,Forereef,Deep,0.338983051,0,0.677966102,0,0,7.457627119,0,3.050847458,88.47457627,300,295
10031,OAH-02781,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.645858,-158.06688,Forereef,Mid,3.040540541,4.054054054,7.432432432,0,0,0.675675676,0,1.351351351,83.44594595,300,296
10032,OAH-02794,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.69301,-158.024844,Forereef,Shallow,4.713804714,8.754208754,9.427609428,0,0,0.336700337,0,7.407407407,69.36026936,300,297
10033,OAH-02766,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.676826,-158.047605,Forereef,Mid,2.356902357,2.02020202,15.82491582,0.336700337,0,1.346801347,0,1.346801347,76.76767677,300,297
10034,OAH-02796,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_NORTH,0,-1,0,CNET,MHI,Oahu,0,0,21.620516,-158.088704,Forereef,Shallow,0,0,1.672240803,0,0,0,0,6.35451505,91.97324415,300,299
10035,OAH-00020,2016,8/20/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,1,CNET,MHI,Oahu,0,-1,21.59095,-158.17462,UNKNOWN,UNKNOWN,0,0,3.03030303,0,0,38.04713805,0,0,58.92255892,300,297
