SITEVISITID,SITE,OBS_YEAR,DATE_,MISSIONID,OCC_SITEID,ANALYSIS_YEAR,ANALYSIS_SCHEME,SEC_NAME,EXCLUDE_FLAG,TRANSECT_PHOTOS,Oceanography,METHOD,REGION,ISLAND,PERM_SITE,CLIMATE_STATION_YN,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN,ACAS,ACBR,ACPH,ACTA,AMSP,ASPP,ASSP,AVSP,CAUL,CHLS,COSP,CYPS,DICO,DICT,ECHL,ECHP,FASP,FAVS,GALI,GALS,GASP,GOAL,GONS,HALI,HYSP,ISSP,LEPT,LESP,LOBO,LOSY,MICR,MOEN,MONE,NEOM,PADI,PAVS,PESP,PLLE,POCS,POMA,PONM,PSSP,STYS,TURS,AMNE,ANTI,ASTS,BGMA,BI,BR,BRMA,BRY,CCAH,CCAR,CMOR,COL,DISP,EMA,ENC,EUSP,FINE,FOL,FREE,FUSP,GC,GRMA,HARD,HCOE,HYCO,LOBS,LPHY,MASS,MESP,MISP,MOBR,MOFO,MONS,OCTO,OUSP,PACS,PAEN,PAFO,PAMA,PHSP,PLER,PLSP,POBR,POEN,POFO,RDMA,RUB,SAND,SG,SP,SYSP,TUN,TURFH,TURFR,UI,UPMA,USC,ZO,HAL,NS,TAB,N,new.N
10000,OAH-02391,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.311209,-158.125831,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.666666667,0.666666667,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0.333333333,0.333333333,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83.33333333,0,0,1.333333333,0,0,0,0,0,300,300
10001,OAH-02460,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.341493,-158.139885,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.37037037,0,0,0,0,0,0,0,0,0,0,0,0,4.62962963,0,0,0,0,9.259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308641975,1.851851852,0,0,11.11111111,0,0,0,0,50.92592593,1.543209877,0,0,0,0,0,0,0,330,324
10002,OAH-02418,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.36039,-158.133699,Forereef,Shallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689655172,0,0,0,0,0,0,0,1.034482759,0,0,0,0,0.344827586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344827586,0,0,0,1.034482759,0,0,0,0,96.20689655,0,0,0.344827586,0,0,0,0,0,300,290
10003,OAH-02408,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.415681,-158.18632,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630914826,0,0,0,0,0,0,0.315457413,2.839116719,0,0,0,0,0,0,0,0,0,0,0,0,0.94637224,0.315457413,0,0,0,7.886435331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315457413,0,0,0,0,0,0,0,0,86.11987382,0.315457413,0,0.315457413,0,0,0,0,0,320,317
10004,OAH-02390,2016,8/18/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.428016,-158.195502,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,4.666666667,0,0,0,0,87.33333333,0,0,1.333333333,0,0,0,0,0,300,300
10005,OAH-02594,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.568485,-158.278243,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.711864407,1.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0.338983051,0,0,0,0,9.152542373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338983051,0,0,0,18.30508475,0,0,0,0,67.79661017,0.338983051,0,0,0,0,0,0,0,300,295
10006,OAH-02605,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.564816,-158.267199,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675675676,0,0,0,0,0.337837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.067567568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337837838,0,0,0,0,93.58108108,0,0,0,0,0,0,0,0,300,296
10007,OAH-02597,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_KAENA,0,-1,0,CNET,MHI,Oahu,0,0,21.557504,-158.254227,Forereef,Shallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346020761,0,0,0,0,0,0,1.384083045,1.384083045,0,0,0,0,0,0,0,0.346020761,0,0,0,0,5.190311419,0,0,0,0,11.41868512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.076124567,0,0,0,1.038062284,0,0,0,0,76.47058824,0.346020761,0,0,0,0,0,0,0,300,289
10008,OAH-02843,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.45644,-158.214246,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334448161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.672240803,1.672240803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.016722408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334448161,0,0,0,0,0,0,0,0,90.96989967,0,0,0,0,0,0,0,0,300,299
10009,OAH-02461,2016,8/19/2016,HA1606,NA,2016,RAMP_BASIC,OAH_SOUTH,0,-1,0,CNET,MHI,Oahu,0,0,21.547161,-158.252005,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3125,0,0,0,0,60,0,0,0.9375,0,0,0,0,0,320,320
