OBJECTID,ROUNDID,MISSIONID,REGION_NAME,ISLAND,SITE,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN,SITEVISITID,DATE_,OBS_YEAR,DIVER,REPLICATEID,REP,METHOD,PHOTOGRAPHER,TRAINING_YN,DEPTH,SURVEY_RADIUS_M,HARD_CORAL,SOFT_CORAL,MA,CCA,TA,SAND,TUNICATE,ZOANTHID,CORALLIMORPH,CLAM,CYANO,SPONGE,OTHER,OTHER_TYPE,HABITAT_CODE,HABITAT_TYPE,CURRENT_STRENGTH,VISIBILITY,MIN_DEPTH,MAX_DEPTH,SUBSTRATE_HEIGHT_0,SUBSTRATE_HEIGHT_20,SUBSTRATE_HEIGHT_50,SUBSTRATE_HEIGHT_100,SUBSTRATE_HEIGHT_150,MAX_HEIGHT,URCHIN_DACOR,BORING_URCHIN_DACOR,SPECIES,TAXONNAME,COMMONNAME,COMMONFAMILYALL,FAMILY,SCIENTIFIC_NAME,RANK,TROPHIC,TROPHIC_MONREP,LW_A,LW_B,LMAX,LENGTH_CONVERSION_FACTOR,COUNT,SIZE_,OBS_TYPE,OBS_DESC
2287070,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CTSR,Ctenochaetus striatus,Striated surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus striatus,Species,H,PRIMARY,0.02313,3.06347,28,0.91,1,15,I,Instantaneous
2287071,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,ACNC,Acanthurus nigricans,Whitecheek surgeonfish,Surgeonfish,Acanthuridae,Acanthurus nigricans,Species,H,PRIMARY,0.067,2.669,23,1,2,12,I,Instantaneous
2287072,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,NALI,Naso lituratus,Orangespine unicornfish,Surgeonfish,Acanthuridae,Naso lituratus,Species,H,PRIMARY,0.0085,3.25,46,0.97,3,30,N,Non-Instantaneous
2287073,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,MEVI,Melichthys vidua,Pinktail triggerfish,Triggerfish,Balistidae,Melichthys vidua,Species,H,PRIMARY,0.0058,3.554,34,1,2,18,I,Instantaneous
2287074,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,XAME,Xanthichthys mento,Redtail triggerfish,Triggerfish,Balistidae,Xanthichthys mento,Species,Pk,PLANKTIVORE,0.0277,2.9321,30,1,3,16,I,Instantaneous
2287075,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CHOR,Chaetodon ornatissimus,Ornate butterflyfish,Butterflyfish,Chaetodontidae,Chaetodon ornatissimus,Species,Cor,SECONDARY,0.0296,2.9895,20,1,1,17,I,Instantaneous
2287076,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CHPU,Chaetodon punctatofasciatus,Spotband butterflyfish,Butterflyfish,Chaetodontidae,Chaetodon punctatofasciatus,Species,MI,SECONDARY,0.0296,2.9895,12,1,2,8,I,Instantaneous
2287077,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,PAIN,Parupeneus insularis,Twosaddle goatfish,Goatfish,Mullidae,Parupeneus insularis,Species,MI,SECONDARY,0.0135,3.0671,33,1,1,22,I,Instantaneous
2287078,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CEAR,Cephalopholis argus,Peacock hind,Grouper,Serranidae,Cephalopholis argus,Species,Pisc,PISCIVORE,0.00929,3.18074,60,1,1,32,I,Instantaneous
2287079,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,CESP,Cephalopholis spiloparaea,Strawberry hind,Grouper,Serranidae,Cephalopholis spiloparaea,Species,Pisc,PISCIVORE,0.0164,3.0303,30,1,1,14,I,Instantaneous
2287080,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,HAOR,Halichoeres ornatissimus,Ornamented wrasse,Wrasse,Labridae,Halichoeres ornatissimus,Species,MI,SECONDARY,0.0133,3,15,1,1,10,I,Instantaneous
2287081,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,PSOC,Pseudocheilinus octotaenia,Eight-lined wrasse,Wrasse,Labridae,Pseudocheilinus octotaenia,Species,MI,SECONDARY,0.0138,3.1563,14,1,14,7,I,Instantaneous
2287082,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,PSOC,Pseudocheilinus octotaenia,Eight-lined wrasse,Wrasse,Labridae,Pseudocheilinus octotaenia,Species,MI,SECONDARY,0.0138,3.1563,14,1,1,5,I,Instantaneous
2287083,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,PSOC,Pseudocheilinus octotaenia,Eight-lined wrasse,Wrasse,Labridae,Pseudocheilinus octotaenia,Species,MI,SECONDARY,0.0138,3.1563,14,1,1,10,I,Instantaneous
2287084,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,OXUN,Oxycheilinus unifasciatus,Ringtail maori wrasse,Wrasse,Labridae,Oxycheilinus unifasciatus,Species,Pisc,PISCIVORE,0.01689,3,46,1,1,17,I,Instantaneous
2287085,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,GOVA,Gomphosus varius,Bird wrasse,Wrasse,Labridae,Gomphosus varius,Species,MI,SECONDARY,0.02437,2.70269,32,1,1,8,I,Instantaneous
2287086,112,HA1701,Pacific Remote Island Areas,Wake,WAK-517,19.275592,166.657759,Forereef,Deep,10552,22-APR-17,2017,RMW,1845964224,A,nSPC,0,0,24,7.5,18,,8,1,,2,,,,,,,71,,AGR,Aggregate Reef,Slight,30,22,26,20,30,40,10,0,1.5,R,R,LABI,Labroides bicolor,Bicolor cleaner wrasse,Wrasse,Labridae,Labroides bicolor,Species,MI,SECONDARY,0.0058,3.171,14,1,1,8,N,Non-Instantaneous
